主页面按键/键盘,帧头,页面,控件,事件（按下或弹起）,帧尾
start,65,01,02,01,ff ff ff
键盘0,65,02,02,01,ff ff ff
键盘1,65,02,05,01,ff ff ff
键盘2,65,02,06,01,ff ff ff
键盘3,65,02,07,01,ff ff ff
键盘4,65,02,08,01,ff ff ff
键盘5,65,02,09,01,ff ff ff
键盘6,65,02,0A,01,ff ff ff
键盘7,65,02,0B,01,ff ff ff
键盘8,65,02,0C,01,ff ff ff
键盘9,65,02,0E,01,ff ff ff
delete,65,02,0D,01,ff ff ff
摄像头曝光+1,65,04,02,01,ff ff ff
摄像头曝光+10,65,04,04,01,ff ff ff
摄像头曝光+100,65,04,05,01,ff ff ff
摄像头曝光+1000,65,04,06,01,ff ff ff
摄像头曝光-1,65,04,07,01,ff ff ff
摄像头曝光-10,65,04,08,01,ff ff ff
摄像头曝光-100,65,04,09,01,ff ff ff
摄像头曝光-1000,65,04,0A,01,ff ff ff
相机阈值+1,65,05,02,01,ff ff ff
相机阈值+10,65,05,04,01,ff ff ff
相机阈值+100,65,05,05,01,ff ff ff
相机阈值+1000,65,05,06,01,ff ff ff
相机阈值-1,65,05,07,01,ff ff ff
相机阈值-10,65,05,08,01,ff ff ff
相机阈值-100,65,05,09,01,ff ff ff
相机阈值-1000,65,05,0A,01,ff ff ff
